DateTime,27.0705 88.4727_tmin,27.0705 88.4727_tmax,27.0705 88.4727
2014-01-01,7.648,22.3931,0.0
2014-01-02,8.2449,19.908,0.0
2014-01-03,8.1895,17.8142,0.0
2014-01-04,7.6102,18.9846,0.0
2014-01-05,7.2811,19.5545,0.0
2014-01-06,7.8563,18.3553,0.0
2014-01-07,7.8242,16.4119,0.0
2014-01-08,5.5905,16.3885,0.0
2014-01-09,5.8551,18.5307,0.0
2014-01-10,6.8435,20.4231,0.0
2014-01-11,8.3217,15.201,0.0
2014-01-12,7.6763,20.2794,0.2056
2014-01-13,8.1305,19.5246,0.0
2014-01-14,9.4738,18.559,0.0
2014-01-15,9.5695,17.916,0.0
2014-01-16,8.7637,19.242,0.0
2014-01-17,8.7733,21.4015,0.0
2014-01-18,9.0183,21.1941,0.0
2014-01-19,10.2608,23.0195,0.0
2014-01-20,10.3575,19.444,0.0
2014-01-21,9.3922,21.5457,0.0
2014-01-22,9.7628,22.4501,0.0
2014-01-23,10.0089,22.7357,0.0
2014-01-24,10.3771,22.0777,0.0
2014-01-25,10.9358,21.1747,0.0
2014-01-26,9.6775,19.7387,0.0
2014-01-27,10.153,16.4556,0.0
2014-01-28,9.6988,18.9839,0.0
2014-01-29,8.7767,22.3413,0.0
2014-01-30,9.8935,21.2334,0.0
2014-01-31,10.0664,21.2204,0.0
2014-02-01,8.6291,20.6925,0.0
2014-02-02,8.1372,18.8207,0.0
2014-02-03,8.7064,18.8005,0.0
2014-02-04,8.5152,18.3038,0.0
2014-02-05,8.8288,20.5574,0.0
2014-02-06,9.4439,22.1343,0.0
2014-02-07,10.452,22.3315,0.0
2014-02-08,11.1963,23.6232,0.0
2014-02-09,10.6821,23.5803,0.0
2014-02-10,9.4264,21.8644,0.0
2014-02-11,8.581,21.7336,0.0
2014-02-12,8.0937,21.3588,0.0
2014-02-13,7.0053,21.8715,0.0
2014-02-14,8.8313,15.6239,0.0
2014-02-15,9.6603,16.141,0.0
2014-02-16,10.747,17.1177,0.3141
2014-02-17,9.5462,19.1995,8.0577
2014-02-18,7.8887,20.8337,0.0
2014-02-19,8.7683,22.9658,0.0
2014-02-20,9.3406,23.3573,0.0
2014-02-21,9.5038,23.6983,0.0
2014-02-22,10.3579,21.9835,0.0
2014-02-23,12.7421,22.8524,0.0
2014-02-24,11.6602,24.0207,0.0
2014-02-25,11.4615,23.6223,0.0
2014-02-26,11.6204,22.9858,0.0
2014-02-27,12.8612,22.6886,0.0
2014-02-28,12.9504,21.6115,0.0
2014-03-01,13.0879,19.7524,0.0
2014-03-02,11.7222,23.6051,0.0
2014-03-03,12.2722,23.7145,0.0
2014-03-04,11.7394,24.1384,0.0
2014-03-05,12.0874,24.6292,0.1101
2014-03-06,10.7604,24.1059,0.1101
2014-03-07,11.5781,24.4288,0.0
2014-03-08,10.6305,24.782,0.0
2014-03-09,11.1652,25.0068,0.0
2014-03-10,12.3502,25.4947,0.0
2014-03-11,12.6529,27.0767,0.0
2014-03-12,13.0934,27.0668,0.0
2014-03-13,14.5306,27.8483,0.0
2014-03-14,14.4652,27.229,0.0
2014-03-15,13.8489,27.844,0.0
2014-03-16,14.2947,28.5144,0.0
2014-03-17,14.8415,28.5912,0.0
2014-03-18,16.2464,28.3065,0.0
2014-03-19,16.1871,29.2309,1.9114
2014-03-20,14.2891,26.2812,1.383
2014-03-21,12.0624,26.6314,1.5362
2014-03-22,13.3168,26.0886,0.0
2014-03-23,13.3402,25.449,0.0
2014-03-24,13.935,26.3265,0.0
2014-03-25,15.2019,26.7933,0.0
2014-03-26,16.3762,27.8389,5.5739
2014-03-27,17.0905,29.3343,0.0
2014-03-28,17.6409,29.552,0.0
2014-03-29,17.4899,31.2927,0.0
2014-03-30,18.5058,30.883,0.0
2014-03-31,16.9322,30.2231,0.0
2014-04-01,15.1024,29.2683,0.0
2014-04-02,14.9349,29.4005,0.0
2014-04-03,15.8163,30.4266,0.0
2014-04-04,17.2495,27.892,0.0
2014-04-05,17.6661,26.3771,0.3821
2014-04-06,16.339,28.9476,0.0
2014-04-07,18.7803,28.5174,0.0
2014-04-08,19.2438,29.2181,30.1732
2014-04-09,18.9545,29.6398,0.0
2014-04-10,16.9866,30.8533,0.0
2014-04-11,15.8375,31.0329,0.0
2014-04-12,16.2873,30.9197,0.0
2014-04-13,16.595,30.6168,0.0
2014-04-14,16.0792,31.1447,0.0
2014-04-15,17.3383,32.5897,0.0
2014-04-16,18.2385,31.5611,0.0
2014-04-17,19.4123,32.1117,0.0
2014-04-18,18.8898,31.6413,0.0
2014-04-19,19.6746,32.0704,0.1371
2014-04-20,18.6635,32.0308,0.0
2014-04-21,17.5005,32.9222,0.0
2014-04-22,17.6385,33.5626,0.0
2014-04-23,17.8514,33.0669,0.0
2014-04-24,18.7675,33.5792,0.0
2014-04-25,19.2132,34.3312,0.0
2014-04-26,20.1695,32.6443,0.0
2014-04-27,20.1783,31.591,0.0
2014-04-28,16.6738,31.2187,5.9484
2014-04-29,20.1981,31.1302,0.0
2014-04-30,19.4289,31.9326,2.8618
2014-05-01,20.765,29.6291,0.0
2014-05-02,17.3502,27.5191,22.8206
2014-05-03,18.2686,27.9022,1.5853
2014-05-04,18.0505,26.2265,5.9493
2014-05-05,18.6653,27.5364,0.9478
2014-05-06,18.7495,28.7851,0.0
2014-05-07,19.497,29.5805,4.9615
2014-05-08,19.9027,29.5712,10.7705
2014-05-09,20.9781,32.018,2.6075
2014-05-10,21.9234,33.3984,0.0
2014-05-11,21.9327,32.6937,0.0
2014-05-12,20.4855,31.4206,103.6859
2014-05-13,21.8937,32.9393,2.9008
2014-05-14,21.5224,33.3016,5.3391
2014-05-15,21.563,33.5344,0.0
2014-05-16,20.614,32.9448,0.0
2014-05-17,20.9699,33.1441,0.0
2014-05-18,21.4686,31.6342,1.0671
2014-05-19,22.4158,31.2447,11.6949
2014-05-20,21.7295,31.278,16.1694
2014-05-21,22.5145,33.1847,1.4443
2014-05-22,21.5372,32.7081,18.424
2014-05-23,21.887,31.5341,7.1342
2014-05-24,20.5524,30.6931,2.9192
2014-05-25,22.0812,31.0477,0.0
2014-05-26,21.7314,28.3871,0.9632
